ISODateTimeUTC,Lat,Lon,SOG,COG,TWD,TWA,VMG
2020-02-12T03:40:00.000000Z,-38.110896,144.399198,9.253,132.659,174.002,41.343,6.947
2020-02-12T03:40:01.000000Z,-38.110922,144.399242,9.361,126.907,173.176,46.269,6.471
2020-02-12T03:40:02.000000Z,-38.110948,144.399285,9.225,127.541,172.433,44.892,6.536
2020-02-12T03:40:03.000000Z,-38.110976,144.399327,9.365,130.274,172.016,41.741,6.987
2020-02-12T03:40:04.000000Z,-38.111003,144.399371,9.492,127.951,171.844,43.894,6.84
2020-02-12T03:40:05.000000Z,-38.111032,144.399417,10.027,128.703,172.315,43.612,7.26
2020-02-12T03:40:06.000000Z,-38.111058,144.399465,9.913,124.545,172.948,48.404,6.581
2020-02-12T03:40:07.000000Z,-38.111087,144.399508,9.634,130.602,173.909,43.307,7.011
2020-02-12T03:40:08.000000Z,-38.111117,144.399551,9.776,131.564,174.34,42.776,7.176
2020-02-12T03:40:09.000000Z,-38.111147,144.399595,9.904,130.911,174.542,43.631,7.169
2020-02-12T03:40:10.000000Z,-38.111175,144.39964,9.76,128.337,173.621,45.284,6.867
2020-02-12T03:40:11.000000Z,-38.111204,144.399684,9.764,129.952,173.398,43.446,7.089
2020-02-12T03:40:12.000000Z,-38.111233,144.399728,9.764,129.952,172.506,42.554,7.193
2020-02-12T03:40:13.000000Z,-38.111263,144.399769,9.525,132.922,172.615,39.693,7.329
2020-02-12T03:40:14.000000Z,-38.11129,144.399809,8.965,130.626,172.883,42.257,6.636
2020-02-12T03:40:15.000000Z,-38.111316,144.399853,9.361,126.907,173.258,46.351,6.461
2020-02-12T03:40:16.000000Z,-38.111342,144.399897,9.361,126.907,172.932,46.025,6.5
2020-02-12T03:40:17.000000Z,-38.11137,144.39994,9.495,129.611,172.855,43.244,6.917
2020-02-12T03:40:18.000000Z,-38.111401,144.399982,9.796,133.17,172.52,39.35,7.575
2020-02-12T03:40:19.000000Z,-38.111433,144.400026,10.193,132.748,172.045,39.297,7.888
2020-02-12T03:40:20.000000Z,-38.111462,144.400072,10.027,128.704,171.784,43.08,7.324
2020-02-12T03:40:21.000000Z,-38.11149,144.400118,9.894,127.726,172.444,44.718,7.03
2020-02-12T03:40:22.000000Z,-38.111519,144.400162,9.764,129.952,172.704,42.752,7.17
2020-02-12T03:40:23.000000Z,-38.11155,144.400205,9.921,132.498,171.746,39.248,7.683
2020-02-12T03:40:24.000000Z,-38.111581,144.400246,9.673,133.86,171.072,37.213,7.704
2020-02-12T03:40:25.000000Z,-38.111613,144.400287,9.824,134.769,172.027,37.258,7.819
2020-02-12T03:40:26.000000Z,-38.111646,144.400324,9.514,138.582,173.249,34.667,7.825
2020-02-12T03:40:27.000000Z,-38.111678,144.400365,9.824,134.769,173.832,39.063,7.628
2020-02-12T03:40:28.000000Z,-38.111709,144.400408,9.921,132.498,175.003,42.505,7.314
2020-02-12T03:40:29.000000Z,-38.111742,144.400447,9.743,137.081,176.447,39.365,7.532
